clust
s0001.insilicoRefs.unique.sorted.bam	1
s0002.insilicoRefs.unique.sorted.bam	1
s0003.insilicoRefs.unique.sorted.bam	1
s0004.insilicoRefs.unique.sorted.bam	1
s0005.insilicoRefs.unique.sorted.bam	1
s0006.insilicoRefs.unique.sorted.bam	1
s0007.insilicoRefs.unique.sorted.bam	1
s0008.insilicoRefs.unique.sorted.bam	1
s0009.insilicoRefs.unique.sorted.bam	1
s0010.insilicoRefs.unique.sorted.bam	1
s0011.insilicoRefs.unique.sorted.bam	1
s0012.insilicoRefs.unique.sorted.bam	1
s0013.insilicoRefs.unique.sorted.bam	1
s0014.insilicoRefs.unique.sorted.bam	1
s0015.insilicoRefs.unique.sorted.bam	1
s0016.insilicoRefs.unique.sorted.bam	1
s0017.insilicoRefs.unique.sorted.bam	1
s0018.insilicoRefs.unique.sorted.bam	1
s0019.insilicoRefs.unique.sorted.bam	1
s0020.insilicoRefs.unique.sorted.bam	1
s0021.insilicoRefs.unique.sorted.bam	1
s0022.insilicoRefs.unique.sorted.bam	1
s0023.insilicoRefs.unique.sorted.bam	1
s0024.insilicoRefs.unique.sorted.bam	1
s0025.insilicoRefs.unique.sorted.bam	1
s0026.insilicoRefs.unique.sorted.bam	1
s0027.insilicoRefs.unique.sorted.bam	1
s0028.insilicoRefs.unique.sorted.bam	1
s0029.insilicoRefs.unique.sorted.bam	1
s0030.insilicoRefs.unique.sorted.bam	1
s0031.insilicoRefs.unique.sorted.bam	1
s0032.insilicoRefs.unique.sorted.bam	1
s0033.insilicoRefs.unique.sorted.bam	1
s0034.insilicoRefs.unique.sorted.bam	1
s0035.insilicoRefs.unique.sorted.bam	1
s0036.insilicoRefs.unique.sorted.bam	1
s0037.insilicoRefs.unique.sorted.bam	1
s0038.insilicoRefs.unique.sorted.bam	1
s0039.insilicoRefs.unique.sorted.bam	1
s0040.insilicoRefs.unique.sorted.bam	1
s0041.insilicoRefs.unique.sorted.bam	1
s0042.insilicoRefs.unique.sorted.bam	1
s0043.insilicoRefs.unique.sorted.bam	1
s0044.insilicoRefs.unique.sorted.bam	1
s0045.insilicoRefs.unique.sorted.bam	1
s0046.insilicoRefs.unique.sorted.bam	1
s0047.insilicoRefs.unique.sorted.bam	1
s0048.insilicoRefs.unique.sorted.bam	1
s0049.insilicoRefs.unique.sorted.bam	1
s0050.insilicoRefs.unique.sorted.bam	1
s0051.insilicoRefs.unique.sorted.bam	1
s0052.insilicoRefs.unique.sorted.bam	1
s0053.insilicoRefs.unique.sorted.bam	1
s0054.insilicoRefs.unique.sorted.bam	1
s0055.insilicoRefs.unique.sorted.bam	1
s0056.insilicoRefs.unique.sorted.bam	1
s0057.insilicoRefs.unique.sorted.bam	1
s0058.insilicoRefs.unique.sorted.bam	1
s0059.insilicoRefs.unique.sorted.bam	2
s0060.insilicoRefs.unique.sorted.bam	2
s0061.insilicoRefs.unique.sorted.bam	2
s0062.insilicoRefs.unique.sorted.bam	2
s0063.insilicoRefs.unique.sorted.bam	2
s0064.insilicoRefs.unique.sorted.bam	2
s0065.insilicoRefs.unique.sorted.bam	2
s0066.insilicoRefs.unique.sorted.bam	2
s0067.insilicoRefs.unique.sorted.bam	2
s0068.insilicoRefs.unique.sorted.bam	2
s0069.insilicoRefs.unique.sorted.bam	2
s0070.insilicoRefs.unique.sorted.bam	2
s0071.insilicoRefs.unique.sorted.bam	2
s0072.insilicoRefs.unique.sorted.bam	2
s0073.insilicoRefs.unique.sorted.bam	2
s0074.insilicoRefs.unique.sorted.bam	2
s0075.insilicoRefs.unique.sorted.bam	2
s0076.insilicoRefs.unique.sorted.bam	2
s0077.insilicoRefs.unique.sorted.bam	2
s0078.insilicoRefs.unique.sorted.bam	2
s0079.insilicoRefs.unique.sorted.bam	2
s0080.insilicoRefs.unique.sorted.bam	2
s0081.insilicoRefs.unique.sorted.bam	2
s0082.insilicoRefs.unique.sorted.bam	2
s0083.insilicoRefs.unique.sorted.bam	2
s0084.insilicoRefs.unique.sorted.bam	2
s0085.insilicoRefs.unique.sorted.bam	2
s0086.insilicoRefs.unique.sorted.bam	2
s0087.insilicoRefs.unique.sorted.bam	2
s0088.insilicoRefs.unique.sorted.bam	2
s0089.insilicoRefs.unique.sorted.bam	2
s0090.insilicoRefs.unique.sorted.bam	2
s0091.insilicoRefs.unique.sorted.bam	2
s0092.insilicoRefs.unique.sorted.bam	2
s0093.insilicoRefs.unique.sorted.bam	2
s0094.insilicoRefs.unique.sorted.bam	2
s0095.insilicoRefs.unique.sorted.bam	2
s0096.insilicoRefs.unique.sorted.bam	2
s0097.insilicoRefs.unique.sorted.bam	2
s0098.insilicoRefs.unique.sorted.bam	2
s0099.insilicoRefs.unique.sorted.bam	2
s0100.insilicoRefs.unique.sorted.bam	2
s0101.insilicoRefs.unique.sorted.bam	2
s0102.insilicoRefs.unique.sorted.bam	2
s0103.insilicoRefs.unique.sorted.bam	2
s0104.insilicoRefs.unique.sorted.bam	2
s0105.insilicoRefs.unique.sorted.bam	2
s0106.insilicoRefs.unique.sorted.bam	2
s0107.insilicoRefs.unique.sorted.bam	2
s0108.insilicoRefs.unique.sorted.bam	2
s0109.insilicoRefs.unique.sorted.bam	2
s0110.insilicoRefs.unique.sorted.bam	2
s0111.insilicoRefs.unique.sorted.bam	3
s0112.insilicoRefs.unique.sorted.bam	3
s0113.insilicoRefs.unique.sorted.bam	3
s0114.insilicoRefs.unique.sorted.bam	3
s0115.insilicoRefs.unique.sorted.bam	3
s0116.insilicoRefs.unique.sorted.bam	3
s0117.insilicoRefs.unique.sorted.bam	3
s0118.insilicoRefs.unique.sorted.bam	3
s0119.insilicoRefs.unique.sorted.bam	3
